@relation 20newsgroups-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute atheismCount numeric
@attribute graphicsCount numeric
@attribute spaceCount numeric
@attribute religionCount numeric
@attribute textLength numeric
@attribute averageSentenceLength numeric
@attribute specialCharacterCount numeric
@attribute numberCount numeric
@attribute emailCount numeric
@attribute avgSpecialCharacters numeric
@attribute atheismCalCount numeric
@attribute graphicsCalCount numeric
@attribute spaceCalCount numeric
@attribute religionCalCount numeric
@attribute groupId {Atheism,Graphics,Space,Religion}

@data
43,26,32,35,700,0,21,0,0,33.333333,40,30,44,25,Atheism
6,5,10,6,4623,0,218,109,1,21.206422,8,214,297,7,Space
36,32,32,36,520,0,8,0,0,65,22,12,20,19,Atheism
16,14,14,16,252,0,11,0,0,22.909091,10,19,19,7,Religion
39,50,43,41,633,0,9,5,0,70.333333,13,27,23,7,Graphics
32,20,22,38,446,0,16,0,0,27.875,17,18,26,29,Religion
11,12,12,12,160,0,6,0,0,26.666667,10,8,7,4,Atheism
23,22,26,22,244,0,9,0,0,27.111111,6,6,14,2,Space
22,17,16,13,228,0,45,0,1,5.066667,15,12,13,4,Atheism
89,72,81,95,1358,0,86,12,0,15.790698,53,30,57,52,Religion
6,4,5,6,52,0,1,0,0,52,4,1,2,2,Atheism
38,31,34,41,511,0,21,0,0,24.333333,18,17,28,20,Religion
39,37,43,36,460,0,21,0,0,21.904762,13,17,28,3,Space
21,18,22,18,265,0,14,0,0,18.928571,3,20,27,1,Space
132,116,120,127,2298,0,252,3,1,9.119048,84,76,95,59,Atheism
8,7,7,8,57,0,1,0,0,57,2,4,6,2,Atheism
37,37,40,38,620,0,18,0,0,34.444444,15,15,32,12,Religion
44,39,47,44,643,0,18,0,0,35.722222,23,11,41,17,Space
81,81,103,79,1854,0,100,24,0,18.54,30,51,106,20,Space
53,61,78,48,1224,0,33,6,0,37.090909,9,41,66,5,Space
60,75,69,58,826,0,22,5,0,37.545455,16,60,39,10,Graphics
5,4,5,5,37,0,1,0,0,37,3,1,1,0,Atheism
30,33,41,33,631,0,31,2,0,20.354839,9,20,45,6,Space
16,15,17,19,186,0,5,0,0,37.2,2,3,14,5,Religion
24,19,18,22,276,0,7,0,0,39.428571,14,12,11,11,Religion
27,24,31,27,310,0,10,0,0,31,8,6,26,9,Space
7,6,7,7,83,0,4,0,0,20.75,2,4,8,0,Space
11,16,17,12,236,0,9,3,0,26.222222,3,13,16,3,Space
81,84,106,79,1853,0,85,9,0,21.8,35,103,163,21,Space
31,28,28,30,495,0,55,0,0,9,16,14,30,9,Religion
15,17,17,14,266,0,16,0,0,16.625,4,12,17,5,Graphics
29,28,28,29,377,0,17,0,0,22.176471,13,12,15,11,Religion
178,153,178,168,4078,0,228,10,0,17.885965,145,95,177,102,Atheism
76,109,177,74,5834,0,240,220,0,24.308333,17,500,716,25,Space
31,29,31,36,472,0,22,0,0,21.454545,13,12,17,15,Religion
16,21,18,16,222,0,8,2,0,27.75,3,12,15,4,Graphics
49,51,60,49,895,0,34,14,0,26.323529,31,28,58,16,Space
60,62,86,57,1045,0,69,11,0,15.144928,19,34,83,13,Space
16,14,16,15,197,0,2,0,0,98.5,8,5,13,5,Atheism
5,5,5,6,55,0,3,0,0,18.333333,0,0,2,3,Religion
176,134,144,181,4191,0,93,0,0,45.064516,164,95,143,158,Religion
19,17,18,17,250,0,22,0,0,11.363636,3,22,25,2,Atheism
16,22,17,15,271,0,19,0,0,14.263158,3,17,8,2,Atheism
34,33,34,31,695,0,18,15,0,38.611111,13,122,137,7,Graphics
277,404,559,270,25538,0,1546,1049,2,16.518758,142,1953,2399,96,Space
13,12,16,12,211,0,14,0,0,15.071429,3,12,18,2,Space
4,4,4,4,43,0,5,2,0,8.6,1,0,1,0,Graphics
19,27,23,21,368,0,13,11,0,28.307692,13,20,17,8,Graphics
10,10,10,9,123,0,7,1,0,17.571429,1,2,5,0,Graphics
18,18,21,22,274,0,13,3,0,21.076923,8,4,13,7,Religion
14,12,12,14,156,0,6,0,0,26,2,9,5,3,Atheism
76,78,94,72,2727,0,120,157,1,22.725,38,318,367,24,Space
24,25,27,22,325,0,10,0,0,32.5,10,13,25,6,Space
111,84,94,106,2617,0,78,16,0,33.551282,128,70,103,112,Religion
30,34,33,30,438,0,19,9,0,23.052632,8,23,22,5,Graphics
46,43,45,43,832,0,36,2,0,23.111111,22,43,63,17,Atheism
23,40,47,24,983,0,52,249,0,18.903846,2,71,81,1,Space
321,358,610,323,26709,0,828,847,4,32.257246,181,2386,3768,164,Space
14,15,14,13,173,0,3,2,0,57.666667,4,7,11,3,Atheism
11,10,11,10,133,0,9,2,0,14.777778,3,7,14,0,Atheism
9,15,13,9,170,0,9,1,0,18.888889,4,16,5,1,Graphics
27,29,35,27,399,0,13,2,0,30.692308,15,14,26,5,Space
40,36,35,35,552,0,40,0,0,13.8,22,38,47,13,Atheism
11,8,10,9,133,0,4,0,0,33.25,7,4,7,6,Atheism
46,61,50,46,798,0,26,2,0,30.692308,17,45,34,13,Graphics
20,22,22,20,204,0,10,0,0,20.4,3,14,9,0,Graphics
16,25,21,15,364,0,24,26,1,15.166667,6,16,13,3,Graphics
275,220,260,296,8599,0,396,12,4,21.714646,231,316,498,230,Religion
49,40,42,48,693,0,30,0,0,23.1,37,39,30,24,Religion
31,32,36,35,511,0,21,0,0,24.333333,13,12,32,16,Religion
8,8,10,8,88,0,3,0,0,29.333333,3,2,7,3,Religion
37,31,34,39,645,0,25,4,0,25.8,12,94,96,21,Religion
25,27,28,22,378,0,19,1,0,19.894737,7,14,14,4,Graphics
74,94,158,73,3935,0,109,89,0,36.100917,14,192,376,16,Space
23,40,30,23,733,0,110,2,1,6.663636,14,72,53,7,Graphics
111,162,238,102,7561,0,441,460,1,17.145125,35,611,766,20,Space
15,18,16,14,216,0,80,2,0,2.7,3,12,11,5,Graphics
46,44,54,47,824,0,29,0,0,28.413793,20,29,46,15,Space
18,19,25,18,409,0,9,0,0,45.444444,4,12,21,4,Space
81,105,92,77,2265,0,54,7,0,41.944444,28,104,102,15,Graphics
184,141,153,199,4161,0,132,7,0,31.522727,211,144,203,233,Religion
11,10,12,10,190,0,10,2,0,19,2,5,5,0,Space
39,37,43,39,532,0,24,17,0,22.166667,16,21,31,8,Atheism
10,9,8,10,89,0,8,0,0,11.125,5,1,2,6,Religion
100,82,89,112,2316,0,63,7,0,36.761905,69,43,96,75,Religion
85,89,116,85,1779,0,53,21,0,33.566038,29,53,118,11,Space
52,62,54,47,656,0,23,0,0,28.521739,9,31,28,6,Graphics
44,47,46,41,493,0,17,0,0,29,6,24,21,7,Graphics
29,18,22,20,577,0,85,1,1,6.788235,19,118,121,14,Atheism
37,28,32,32,643,0,16,0,0,40.1875,20,13,16,16,Atheism
15,14,12,13,151,0,6,2,0,25.166667,5,10,7,4,Religion
17,28,23,18,246,0,7,8,0,35.142857,5,20,12,2,Graphics
6,8,11,6,103,0,4,0,0,25.75,1,3,3,1,Space
21,19,22,21,280,0,31,0,0,9.032258,8,8,10,7,Religion
11,9,10,11,142,0,5,2,0,28.4,6,2,4,9,Religion
61,49,56,59,887,0,33,0,0,26.878788,48,38,56,25,Atheism
58,66,79,61,1226,0,44,0,0,27.863636,27,33,64,14,Space
74,161,137,66,4749,0,206,21,1,23.053398,20,286,226,7,Graphics
16,20,20,13,344,0,24,1,1,14.333333,5,25,23,1,Space
53,44,56,59,1129,0,44,0,0,25.659091,32,19,52,25,Religion
82,103,90,77,1886,0,57,28,0,33.087719,30,73,105,21,Graphics
47,43,47,44,990,0,20,0,0,49.5,37,22,36,24,Atheism
64,52,58,58,1153,0,41,0,1,28.121951,65,48,50,31,Atheism
33,23,24,27,360,0,16,0,0,22.5,26,7,14,18,Atheism
15,20,18,13,298,0,19,6,0,15.684211,5,18,14,2,Graphics
27,22,30,28,452,0,12,9,0,37.666667,14,51,66,9,Religion
10,15,12,8,158,0,7,0,0,22.571429,1,13,5,0,Graphics
21,17,20,21,404,0,37,0,0,10.918919,27,20,27,11,Atheism
52,39,45,51,670,0,15,0,0,44.666667,38,17,24,25,Atheism
13,13,13,13,256,0,13,2,0,19.692308,11,6,5,9,Religion
14,14,18,14,202,0,14,0,0,14.428571,5,4,12,6,Space
5,5,5,6,64,0,5,0,0,12.8,1,3,3,1,Religion
43,29,31,51,674,0,19,0,0,35.473684,27,20,29,40,Religion
42,46,49,40,663,0,27,0,0,24.555556,23,21,26,11,Atheism
5,7,7,5,120,0,5,0,0,24,1,7,8,2,Space
50,64,54,47,1068,0,84,37,0,12.714286,16,69,65,15,Graphics
23,25,25,24,315,0,9,0,0,35,6,12,12,8,Graphics
19,26,24,20,299,0,12,4,0,24.916667,9,8,11,4,Graphics
102,79,82,92,1539,0,39,0,0,39.461538,73,64,85,42,Atheism
13,13,18,14,308,0,26,10,0,11.846154,12,14,21,2,Space
20,20,27,20,347,0,21,0,0,16.52381,15,14,23,9,Atheism
45,65,92,42,1942,0,29,31,0,66.965517,7,141,196,7,Space
39,29,29,38,490,0,12,0,0,40.833333,28,15,24,20,Religion
42,59,52,41,1067,0,170,10,1,6.276471,13,136,116,5,Graphics
16,33,23,16,375,0,10,8,0,37.5,2,29,22,1,Graphics
45,67,58,43,1008,0,61,32,1,16.52459,8,58,34,5,Graphics
2,1,2,2,59,0,1,0,0,59,0,9,10,1,Religion
305,295,376,302,12403,0,503,28,0,24.658052,312,674,1028,274,Space
89,78,82,83,1376,0,47,0,1,29.276596,60,55,64,39,Atheism
38,35,36,39,743,0,34,0,0,21.852941,20,29,48,16,Atheism
40,48,48,38,610,0,19,0,1,32.105263,6,38,34,8,Graphics
53,42,48,51,616,0,27,0,0,22.814815,32,34,34,16,Atheism
24,27,27,24,357,0,17,0,0,21,8,13,18,9,Space
31,33,39,31,617,0,101,6,0,6.108911,18,11,35,9,Space
73,79,94,68,1852,0,67,16,0,27.641791,30,65,118,22,Space
34,25,32,34,563,0,34,0,0,16.558824,22,29,36,8,Atheism
5,6,5,4,60,0,1,0,0,60,0,2,4,0,Graphics
33,27,31,35,524,0,24,0,1,21.833333,17,19,27,13,Religion
3,5,3,3,64,0,2,0,0,32,1,10,8,2,Space
189,138,157,171,3301,0,87,4,0,37.942529,158,130,188,109,Atheism
22,26,25,20,290,0,13,1,1,22.307692,4,27,11,3,Graphics
35,35,37,34,537,0,13,0,0,41.307692,13,12,33,9,Atheism
27,36,31,25,424,0,21,0,0,20.190476,2,21,9,1,Graphics
48,36,39,39,626,0,56,0,1,11.178571,38,30,45,20,Atheism
0,0,0,0,29,0,6,0,0,4.833333,0,2,2,0,Space
173,145,162,188,4771,0,147,28,0,32.455782,186,129,240,206,Religion
24,26,30,24,389,0,25,0,2,15.56,14,18,29,7,Space
31,33,38,32,368,0,16,0,0,23,8,9,18,4,Space
13,19,17,15,174,0,7,4,0,24.857143,1,13,13,2,Graphics
17,22,18,12,230,0,7,0,0,32.857143,3,21,17,0,Graphics
29,38,34,31,584,0,44,21,0,13.272727,7,27,21,7,Graphics
40,31,33,41,520,0,14,0,0,37.142857,16,10,25,19,Religion
33,32,34,32,408,0,23,11,0,17.73913,22,14,22,12,Atheism
29,27,29,28,368,0,15,0,0,24.533333,14,13,20,9,Atheism
21,21,22,22,222,0,12,0,0,18.5,8,8,10,7,Religion
45,42,60,43,834,0,39,0,0,21.384615,18,14,44,8,Space
56,48,53,59,784,0,27,0,0,29.037037,30,33,32,23,Religion
24,39,31,25,945,0,78,38,0,12.115385,7,53,37,2,Graphics
100,84,99,105,2536,0,122,0,0,20.786885,85,53,95,79,Religion
19,22,30,21,591,0,8,0,0,73.875,5,17,34,4,Space
28,29,38,27,573,0,24,0,0,23.875,12,11,39,12,Space
26,26,27,27,515,0,12,11,0,42.916667,10,19,26,9,Religion
114,92,102,106,2271,0,106,2,0,21.424528,107,111,135,63,Religion
23,20,22,22,244,0,10,0,0,24.4,21,6,7,10,Religion
33,42,39,30,976,0,103,41,1,9.475728,12,90,63,3,Graphics
28,26,34,26,482,0,18,3,0,26.777778,10,14,25,3,Space
191,156,171,195,4599,0,259,0,0,17.756757,193,103,189,183,Religion
16,15,16,15,207,0,10,0,0,20.7,15,10,8,4,Atheism
18,15,25,13,375,0,6,2,0,62.5,8,16,32,6,Space
32,42,39,31,518,0,10,3,0,51.8,13,35,28,5,Graphics
80,77,80,76,1511,0,66,0,0,22.893939,50,54,67,29,Religion
19,16,16,20,263,0,11,6,0,23.909091,4,10,11,6,Atheism
40,51,80,37,2282,0,55,31,0,41.490909,24,59,166,9,Space
6,8,6,6,134,0,10,4,0,13.4,4,5,8,1,Graphics
78,65,72,83,1636,0,61,0,0,26.819672,52,50,50,57,Religion
10,11,12,9,215,0,7,0,0,30.714286,2,10,12,3,Space
91,76,85,88,1342,0,35,3,0,38.342857,48,72,98,35,Atheism
4,4,4,4,129,0,83,0,0,1.554217,0,4,6,0,Space
13,10,10,12,156,0,11,0,0,14.181818,5,8,11,2,Graphics
7,7,7,6,98,0,12,0,0,8.166667,2,8,8,0,Space
12,15,19,13,330,0,15,0,0,22,2,17,24,2,Space
2,2,2,2,141,0,9,3,0,15.666667,4,2,4,0,Religion
172,121,129,154,3844,0,438,9,0,8.776256,235,193,215,153,Atheism
7,6,10,5,645,0,81,0,0,7.962963,28,18,17,3,Religion
142,118,128,151,3245,0,125,5,0,25.96,81,78,150,97,Religion
32,31,40,29,479,0,80,0,0,5.9875,11,22,34,11,Space
27,28,34,28,492,0,22,0,0,22.363636,8,13,31,5,Space
69,95,87,70,1183,0,52,5,0,22.75,34,64,60,20,Graphics
26,22,22,23,407,0,23,0,0,17.695652,11,71,64,3,Atheism
24,33,26,24,366,0,14,0,0,26.142857,6,37,26,2,Graphics
4,5,4,8,129,0,13,0,0,9.923077,1,5,9,3,Religion
183,199,245,177,6015,0,259,65,0,23.223938,92,233,461,56,Space
14,13,14,14,231,0,81,0,0,2.851852,5,9,12,5,Space
69,50,55,63,1199,0,65,10,0,18.446154,71,34,42,44,Atheism
13,16,18,12,306,0,11,11,0,27.818182,4,17,15,1,Space
71,67,96,68,1230,0,24,0,0,51.25,27,35,104,23,Space
31,45,37,31,909,0,26,20,0,34.961538,11,62,28,10,Graphics
15,24,17,13,209,0,8,0,0,26.125,4,22,15,1,Graphics
98,76,84,101,2239,0,50,0,0,44.78,111,65,80,134,Religion
14,17,16,13,224,0,6,0,0,37.333333,4,8,10,1,Space
49,32,41,43,892,0,22,0,0,40.545455,40,12,25,22,Atheism
23,25,33,21,515,0,35,15,4,14.714286,1,27,26,1,Space
98,80,89,87,1531,0,59,0,0,25.949153,62,53,91,36,Atheism
34,50,41,32,590,0,12,0,0,49.166667,9,28,27,4,Graphics
36,38,39,37,775,0,48,4,0,16.145833,11,22,29,14,Religion
30,31,31,29,521,0,64,0,1,8.140625,13,13,19,7,Space
41,38,39,42,824,0,26,6,1,31.692308,26,24,22,25,Religion
17,19,17,14,190,0,4,0,0,47.5,5,18,5,0,Graphics
14,11,15,17,187,0,4,1,0,46.75,8,6,9,7,Religion
11,11,13,9,163,0,11,0,0,14.818182,4,7,13,0,Space
80,64,69,72,1111,0,82,0,1,13.54878,62,56,73,37,Atheism
28,46,33,25,507,0,11,0,0,46.090909,7,65,51,4,Graphics
12,11,12,12,109,0,5,0,0,21.8,6,4,9,2,Atheism
52,42,47,48,987,0,46,0,1,21.456522,29,38,48,19,Atheism
18,31,27,20,291,0,13,0,0,22.384615,5,20,8,4,Graphics
27,36,37,26,585,0,41,0,0,14.268293,1,50,46,2,Space
66,57,67,63,985,0,43,0,0,22.906977,33,30,60,28,Atheism
0,0,0,0,26,0,10,0,1,2.6,0,1,1,0,Religion
13,26,17,13,237,0,19,4,0,12.473684,3,29,14,3,Graphics
77,67,72,78,981,0,40,0,0,24.525,45,35,37,45,Religion
6,7,14,6,87,0,1,0,0,87,0,4,3,1,Space
13,12,14,13,158,0,15,0,0,10.533333,2,6,18,0,Atheism
46,35,37,39,654,0,57,0,1,11.473684,29,31,54,12,Atheism
51,63,95,51,2236,0,131,27,0,17.068702,12,155,238,11,Space
35,38,36,35,1132,0,252,21,1,4.492063,7,110,91,3,Graphics
75,67,67,76,1536,0,117,0,0,13.128205,61,50,65,52,Religion
80,77,89,83,2145,0,172,14,0,12.47093,32,57,92,33,Religion
28,31,32,29,587,0,20,3,0,29.35,12,30,39,9,Space
53,47,49,49,728,0,27,0,0,26.962963,23,19,37,18,Atheism
70,106,87,65,1960,0,44,14,0,44.545455,25,142,119,19,Graphics
48,40,43,49,660,0,17,0,0,38.823529,35,17,33,23,Atheism
32,20,26,34,450,0,18,0,0,25,17,14,13,15,Religion
19,18,18,19,443,0,23,12,0,19.26087,14,17,34,9,Religion
23,17,16,17,271,0,43,0,1,6.302326,18,14,21,6,Atheism
12,12,13,12,89,0,3,0,0,29.666667,2,1,4,0,Space
61,58,74,59,1059,0,38,8,0,27.868421,38,24,69,24,Space
12,15,16,12,154,0,6,0,0,25.666667,7,9,16,4,Space
28,22,24,26,385,0,13,0,0,29.615385,12,18,27,8,Atheism
126,98,105,130,2555,0,86,0,0,29.709302,133,77,106,113,Religion
16,25,22,17,288,0,5,15,0,57.6,1,15,17,1,Graphics
29,21,25,30,459,0,18,0,0,25.5,16,11,23,20,Atheism
29,26,28,28,440,0,13,0,0,33.846154,16,24,41,16,Religion
19,28,24,19,326,0,4,0,0,81.5,1,25,17,0,Graphics
24,27,26,22,281,0,6,0,0,46.833333,8,16,18,6,Graphics
26,36,31,26,448,0,20,3,0,22.4,11,24,21,5,Graphics
133,114,121,139,2865,0,144,5,0,19.895833,69,114,178,73,Religion
19,22,24,18,445,0,32,25,3,13.90625,11,9,18,7,Graphics
9,15,13,7,203,0,9,0,0,22.555556,1,18,6,1,Graphics
36,36,44,38,828,0,35,11,1,23.657143,15,26,44,8,Space
35,42,71,36,1479,0,32,35,0,46.21875,12,111,169,13,Space
19,26,20,16,283,0,18,13,0,15.722222,1,23,17,2,Graphics
49,38,42,49,533,0,40,0,0,13.325,37,20,30,16,Atheism
44,35,39,49,692,0,18,0,0,38.444444,29,18,31,35,Religion
55,63,80,57,1060,0,50,7,0,21.2,23,32,59,8,Space
41,41,50,41,544,0,19,8,0,28.631579,14,9,36,10,Space
7,7,7,8,177,0,85,0,0,2.082353,1,8,11,2,Atheism
27,36,27,24,417,0,41,0,0,10.170732,8,23,17,4,Graphics
25,34,29,26,579,0,15,3,0,38.6,16,33,19,7,Graphics
70,75,95,71,1558,0,59,10,0,26.40678,31,57,102,20,Space
50,48,70,47,1021,0,46,4,0,22.195652,23,41,85,15,Space
12,14,13,13,183,0,10,12,0,18.3,1,11,11,0,Graphics
34,36,40,36,573,0,28,20,0,20.464286,12,20,39,14,Space
11,15,16,13,212,0,6,0,0,35.333333,8,9,18,4,Religion
208,215,217,197,7076,0,397,51,4,17.823678,226,543,549,143,Graphics
20,25,21,20,204,0,8,7,0,25.5,4,12,6,2,Graphics
34,33,45,32,518,0,10,0,0,51.8,14,22,48,7,Space
84,73,76,79,1363,0,56,3,0,24.339286,54,43,59,33,Atheism
41,40,53,42,903,0,111,13,0,8.135135,20,116,133,19,Space
71,52,61,60,1400,0,131,0,0,10.687023,50,56,78,24,Atheism
9,14,9,9,198,0,13,1,0,15.230769,3,22,11,4,Graphics
11,16,15,11,701,0,61,56,0,11.491803,2,29,28,4,Graphics
39,33,35,37,647,0,32,0,0,20.21875,28,16,24,5,Atheism
19,15,17,19,207,0,7,0,0,29.571429,8,6,11,3,Atheism
11,12,11,11,125,0,4,0,0,31.25,1,7,8,2,Graphics
84,68,77,83,1473,0,49,2,0,30.061224,77,34,65,35,Atheism
9,7,7,10,117,0,2,0,0,58.5,5,4,5,7,Atheism
168,122,134,139,3248,0,129,0,0,25.178295,184,104,105,95,Atheism
21,19,24,19,273,0,84,0,0,3.25,4,8,10,4,Space
63,66,73,64,1025,0,38,2,0,26.973684,27,34,64,16,Space
11,16,12,10,180,0,13,4,0,13.846154,4,12,6,2,Graphics
61,62,82,57,1189,0,34,0,0,34.970588,18,40,75,7,Space
90,71,81,85,1835,0,126,0,0,14.563492,91,37,75,49,Atheism
18,27,20,14,264,0,16,14,0,16.5,2,15,5,3,Graphics
19,24,22,19,269,0,4,0,0,67.25,4,19,9,3,Graphics
34,32,33,34,502,0,17,0,0,29.529412,15,8,16,13,Atheism
38,45,42,35,498,0,22,1,0,22.636364,21,28,30,8,Graphics
15,18,20,16,148,0,3,2,0,49.333333,6,3,15,0,Space
12,13,13,11,200,0,17,6,0,11.764706,7,12,12,2,Graphics
43,59,48,38,1087,0,180,33,1,6.038889,12,163,133,6,Graphics
35,28,29,39,372,0,11,0,0,33.818182,18,12,19,25,Religion
107,92,99,95,1794,0,84,1,0,21.357143,95,68,72,61,Atheism
90,108,97,87,1965,0,104,53,0,18.894231,59,111,133,28,Graphics
28,29,37,27,481,0,25,0,0,19.24,6,18,36,4,Space
1,0,2,0,33,0,2,0,0,16.5,2,3,6,0,Atheism
20,29,23,19,312,0,6,2,0,52,1,33,17,0,Graphics
8,5,7,8,51,0,1,0,0,51,4,4,2,2,Religion
140,101,117,126,2192,0,81,0,0,27.061728,130,78,93,91,Atheism
22,31,32,24,694,0,24,15,1,28.916667,4,25,39,6,Graphics
25,24,25,24,493,0,36,2,1,13.694444,10,33,47,9,Space
20,25,26,20,464,0,18,0,1,25.777778,5,43,37,6,Space
37,44,39,33,616,0,35,12,0,17.6,9,40,25,3,Graphics
